id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
111702121,,35000,35000,35000.0,60 months,21.45,955.75,D,D5,School Teacher,6 years,RENT,54000.0,Verified,Jul-2017,Current,n,,debt_consolidation,Debt consolidation,752xx,TX,46.16,0,Jul-1987,0.0,,,11,0,34379.0,89.3,28,w,33289.29,33289.29,4862.17,4862.17,1710.71,3151.46,0.0,0.0,0.0,Dec-2017,955.75,Jan-2018,Dec-2017,0,,1,Joint App,174000.0,32.32,Verified,0,0.0,67559.0,0.0,0.0,1.0,24.0,33180.0,11.0,0.0,0.0,8344.0,60.0,38500.0,0.0,1.0,0.0
96725559,,24000,24000,24000.0,60 months,11.44,527.1,B,B4,Registered Nurse,10+ years,MORTGAGE,150000.0,Not Verified,Jan-2017,Current,n,,debt_consolidation,Debt consolidation,400xx,KY,24.84,0,Sep-1990,1.0,42.0,,16,0,26834.0,71.6,28,w,20557.72,20557.72,5775.23,5775.23,3442.28,2332.95,0.0,0.0,0.0,Dec-2017,527.1,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,381157.0,2.0,1.0,3.0,7.0,100672.0,56.0,2.0,3.0,10457.0,60.0,37500.0,4.0,1.0,8.0
104900825,,4500,4500,4500.0,36 months,11.49,148.38,B,B5,Driver,< 1 year,RENT,75000.0,Source Verified,Apr-2017,Current,n,,debt_consolidation,Debt consolidation,993xx,WA,14.54,1,Apr-2006,0.0,13.0,76.0,8,1,4051.0,50.0,11,w,3628.88,3628.88,1181.3,1181.3,871.12,310.18,0.0,0.0,0.0,Dec-2017,148.38,Jan-2018,Dec-2017,0,,1,Individual,,,,0,110.0,34031.0,0.0,0.0,2.0,14.0,29980.0,84.0,0.0,3.0,687.0,78.0,8400.0,0.0,0.0,0.0
86962679,,35000,35000,35000.0,36 months,27.49,1438.1,F,F4,Director,< 1 year,RENT,150000.0,Source Verified,Aug-2016,Charged Off,n,,debt_consolidation,Debt consolidation,750xx,TX,14.43,2,Apr-2008,1.0,7.0,,8,0,10920.0,78.6,19,w,0.0,0.0,16078.09,16078.09,7822.11,8184.07,71.91,0.0,0.0,Jul-2017,2948.11,,Dec-2017,0,61.0,1,Individual,,,,0,0.0,43765.0,1.0,3.0,8.0,6.0,32845.0,77.0,0.0,3.0,5325.0,77.0,13900.0,3.0,0.0,2.0
70832712,,35000,35000,35000.0,60 months,9.75,739.35,B,B3,Human Resource Director,10+ years,MORTGAGE,150000.0,Verified,Feb-2016,Current,n,,debt_consolidation,Debt consolidation,377xx,TN,15.07,0,Sep-1984,1.0,,,16,0,134954.0,89.0,38,w,24088.53,24088.53,16341.53,16341.53,10911.47,5430.06,0.0,0.0,0.0,Dec-2017,739.35,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,624068.0,1.0,0.0,0.0,27.0,0.0,0.0,2.0,2.0,13160.0,89.0,151101.0,0.0,0.0,1.0
73508553,,6000,6000,6000.0,36 months,9.75,192.9,B,B3,respiratory therapist,10+ years,RENT,110000.0,Source Verified,Mar-2016,Fully Paid,n,,debt_consolidation,Debt consolidation,183xx,PA,10.6,0,Oct-2002,0.0,42.0,,12,0,6094.0,43.2,20,f,0.0,0.0,6743.3406845631,6743.34,6000.0,743.34,0.0,0.0,0.0,Oct-2017,3257.47,,Nov-2017,0,71.0,1,Individual,,,,0,0.0,36041.0,2.0,2.0,4.0,2.0,29947.0,93.0,2.0,4.0,3500.0,74.0,14100.0,1.0,2.0,2.0
108795681,,7000,7000,7000.0,36 months,10.91,228.88,B,B4,Sdb manager,10+ years,MORTGAGE,53000.0,Not Verified,May-2017,Fully Paid,n,,debt_consolidation,Debt consolidation,923xx,CA,32.93,0,Dec-1999,0.0,,,13,0,12582.0,39.6,25,w,0.0,0.0,7163.7690003746,7163.77,7000.0,163.77,0.0,0.0,0.0,Jul-2017,6943.38,,Dec-2017,0,,1,Individual,,,,0,0.0,168858.0,0.0,0.0,2.0,18.0,24846.0,52.0,1.0,2.0,4719.0,47.0,31800.0,2.0,2.0,1.0
91030255,,12500,12500,12500.0,36 months,17.99,451.85,D,D2,Staff Sargent,10+ years,RENT,78000.0,Verified,Oct-2016,Fully Paid,n,,debt_consolidation,Debt consolidation,114xx,NY,9.2,0,Dec-2004,1.0,,60.0,4,1,1781.0,11.9,17,w,0.0,0.0,14631.5299140424,14631.53,12500.0,2131.53,0.0,0.0,0.0,Nov-2017,9309.28,,Dec-2017,0,,1,Individual,,,,0,0.0,21556.0,1.0,1.0,1.0,1.0,19775.0,97.0,0.0,0.0,1766.0,61.0,15000.0,3.0,0.0,7.0
78288322,,16000,16000,16000.0,36 months,11.99,531.36,C,C1,Human Resource Specialist,9 years,MORTGAGE,73532.0,Source Verified,Apr-2016,Current,n,,debt_consolidation,Debt consolidation,782xx,TX,39.38,0,Nov-2000,2.0,,,30,0,30097.0,57.8,71,w,7127.72,7127.72,11085.18,11085.18,8872.28,2212.9,0.0,0.0,0.0,Nov-2017,531.36,Jan-2018,Jun-2017,0,,1,Individual,,,,0,0.0,182359.0,2.0,1.0,2.0,2.0,97571.0,74.0,3.0,7.0,4406.0,69.0,52100.0,3.0,15.0,4.0
69483249,,16000,16000,16000.0,36 months,8.49,505.01,B,B1,owner,10+ years,RENT,80000.0,Not Verified,Jan-2016,Current,n,,credit_card,Credit card refinancing,064xx,CT,15.12,0,Nov-1985,0.0,71.0,15.0,10,2,9673.0,59.0,30,w,6251.04,6251.04,11607.68,11607.68,9748.96,1858.72,0.0,0.0,0.0,Dec-2017,505.01,Jan-2018,Dec-2017,0,,1,Individual,,,,0,336.0,103032.0,0.0,0.0,0.0,28.0,93359.0,75.0,0.0,1.0,4350.0,72.0,16400.0,0.0,0.0,0.0
96748170,,6000,6000,6000.0,36 months,7.24,185.93,A,A3,Underground,10+ years,MORTGAGE,80000.0,Not Verified,Jan-2017,Current,n,,vacation,Vacation,488xx,MI,10.58,0,Oct-1999,0.0,44.0,,7,0,1975.0,22.4,20,w,4302.37,4302.37,2042.82,2042.82,1697.63,345.19,0.0,0.0,0.0,Dec-2017,185.93,Jan-2018,Dec-2017,0,44.0,1,Individual,,,,0,0.0,194559.0,0.0,1.0,2.0,12.0,13198.0,68.0,1.0,1.0,1467.0,54.0,8800.0,2.0,4.0,2.0
101282797,,7200,7200,7200.0,36 months,5.32,216.83,A,A1,Education Manager,10+ years,MORTGAGE,91000.0,Not Verified,Apr-2017,Current,n,,home_improvement,Home improvement,814xx,CO,9.15,0,Jan-1998,0.0,,,11,0,4002.0,4.6,27,w,5697.56,5697.56,1732.51,1732.51,1502.44,230.07,0.0,0.0,0.0,Dec-2017,216.83,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,217349.0,0.0,2.0,2.0,9.0,38230.0,93.0,0.0,0.0,2273.0,33.0,87600.0,1.0,1.0,4.0
118171802,,12000,12000,12000.0,36 months,9.93,386.82,B,B2,Service Tech,9 years,MORTGAGE,75000.0,Source Verified,Sep-2017,Current,n,,credit_card,Credit card refinancing,480xx,MI,23.97,1,Jun-2000,0.0,3.0,,14,0,19362.0,43.7,22,w,11130.28,11130.28,1153.84,1153.84,869.72,284.12,0.0,0.0,0.0,Dec-2017,386.82,Jan-2018,Dec-2017,0,3.0,1,Individual,,,,0,0.0,159094.0,1.0,0.0,1.0,15.0,27814.0,62.0,5.0,7.0,14237.0,53.0,44300.0,0.0,2.0,2.0
113075306,,21000,21000,21000.0,60 months,30.99,692.25,G,G5,Host/Server,< 1 year,MORTGAGE,25000.0,Not Verified,Aug-2017,Current,n,,debt_consolidation,Debt consolidation,805xx,CO,5.38,0,Oct-2011,0.0,,95.0,4,1,2315.0,37.3,4,w,20379.65,20379.65,2856.61,2856.61,620.35,2236.26,0.0,0.0,0.0,Dec-2017,816.02,Jan-2018,Jul-2017,0,,1,Joint App,145000.0,21.68,Not Verified,0,0.0,348444.0,1.0,0.0,0.0,,0.0,,1.0,1.0,2097.0,37.0,6200.0,0.0,0.0,0.0
68340944,,7000,7000,7000.0,36 months,14.85,242.15,C,C5,Forklift driver,2 years,RENT,38000.0,Source Verified,Jan-2016,Charged Off,n,,debt_consolidation,,381xx,TN,21.19,1,Aug-1998,0.0,12.0,,6,0,2611.0,33.9,19,f,0.0,0.0,2779.98,2779.98,962.49,498.16,0.0,1319.33,237.4794000001,Jul-2016,242.15,,Dec-2016,0,12.0,1,Individual,,,,0,0.0,25023.0,3.0,1.0,1.0,5.0,22412.0,80.0,2.0,5.0,940.0,70.0,7700.0,1.0,0.0,2.0
96960184,,8150,8150,8150.0,36 months,7.99,255.36,A,A5,International Student Adviser/ESL Instr.,3 years,MORTGAGE,39500.0,Verified,Jan-2017,Current,n,,other,Other,450xx,OH,23.82,0,Aug-2001,0.0,,,7,0,8627.0,46.4,23,w,6077.72,6077.72,2549.98,2549.98,2072.28,477.7,0.0,0.0,0.0,Dec-2017,255.36,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,193043.0,0.0,0.0,1.0,16.0,45440.0,86.0,0.0,0.0,5356.0,76.0,18600.0,2.0,1.0,1.0
91091719,,12000,12000,12000.0,60 months,17.99,304.66,D,D2,Customer Care Supervisor,10+ years,MORTGAGE,72000.0,Not Verified,Oct-2016,Current,n,,debt_consolidation,Debt consolidation,980xx,WA,22.43,0,Feb-2003,0.0,33.0,,11,0,23099.0,83.4,14,w,10227.33,10227.33,4028.05,4028.05,1772.67,2255.38,0.0,0.0,0.0,Dec-2017,304.66,Jan-2018,Dec-2017,0,33.0,1,Individual,,,,0,0.0,306423.0,0.0,0.0,0.0,30.0,19203.0,58.0,1.0,1.0,9291.0,70.0,27700.0,0.0,3.0,1.0
109682953,,1000,1000,1000.0,36 months,18.06,36.19,D,D2,MLS Admin,4 years,OWN,34000.0,Source Verified,Jun-2017,Current,n,,debt_consolidation,Debt consolidation,612xx,IL,24.07,0,Nov-2004,4.0,,,15,0,6559.0,37.3,23,w,868.29,868.29,215.13,215.13,131.71,83.42,0.0,0.0,0.0,Dec-2017,36.19,Jan-2018,Dec-2017,0,,1,Individual,,,,0,603.0,25868.0,3.0,1.0,1.0,10.0,19309.0,52.0,4.0,6.0,2742.0,47.0,17600.0,2.0,0.0,5.0
95363486,,12000,12000,12000.0,60 months,24.74,350.39,E,E3,Agent,10+ years,RENT,63000.0,Source Verified,Jan-2017,Current,n,,debt_consolidation,Debt consolidation,480xx,MI,19.66,0,Jul-1992,4.0,,90.0,10,1,8962.0,47.9,19,w,10742.8,10742.8,3821.3,3821.3,1257.2,2564.1,0.0,0.0,0.0,Dec-2017,350.39,Jan-2018,Dec-2017,0,,1,Individual,,,,0,72.0,26903.0,0.0,0.0,2.0,16.0,17941.0,66.0,1.0,4.0,3952.0,59.0,18700.0,3.0,0.0,5.0
74655194,,10000,10000,10000.0,36 months,12.99,336.9,C,C2,Office Manager,9 years,MORTGAGE,40768.0,Not Verified,Mar-2016,Charged Off,n,,debt_consolidation,Debt consolidation,471xx,IN,22.9,0,Dec-2003,1.0,,,16,0,15571.0,51.4,31,f,0.0,0.0,5073.56,5073.56,3702.24,1371.32,0.0,0.0,0.0,Jul-2017,336.9,,Dec-2017,0,,1,Individual,,,,0,1482.0,145397.0,1.0,0.0,0.0,39.0,34416.0,83.0,5.0,7.0,6319.0,70.0,30300.0,0.0,0.0,3.0
106509923,,14900,14900,14900.0,36 months,8.24,468.57,B,B1,"Supervisor, Flight Ops Ground Training",9 years,RENT,83500.0,Not Verified,Apr-2017,Current,n,,credit_card,Credit card refinancing,551xx,MN,17.73,0,Jul-1998,0.0,,,6,0,15466.0,76.6,13,f,11898.55,11898.55,3741.74,3741.74,3001.45,740.29,0.0,0.0,0.0,Dec-2017,468.57,Jan-2018,Nov-2017,0,,1,Individual,,,,0,0.0,47952.0,0.0,0.0,0.0,41.0,32486.0,34.0,0.0,0.0,9966.0,55.0,20200.0,1.0,1.0,1.0
91685966,,25000,25000,25000.0,60 months,11.44,549.07,B,B4,manager,10+ years,MORTGAGE,114000.0,Source Verified,Oct-2016,Current,n,,debt_consolidation,Debt consolidation,066xx,CT,14.71,0,Oct-2002,1.0,,,33,0,20066.0,30.1,59,w,20372.66,20372.66,7671.09,7671.09,4627.34,3043.75,0.0,0.0,0.0,Dec-2017,549.07,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,324695.0,1.0,2.0,2.0,12.0,54404.0,106.0,6.0,9.0,12622.0,63.0,66700.0,5.0,5.0,4.0
76698776,,28000,28000,28000.0,36 months,5.32,843.22,A,A1,Assistant Dean of Students,7 years,RENT,89900.0,Source Verified,Apr-2016,Current,n,,credit_card,Credit card refinancing,144xx,NY,16.67,0,Feb-2003,0.0,,,20,0,38645.0,51.6,50,w,12996.14,12996.14,16856.12,16856.12,15003.86,1852.26,0.0,0.0,0.0,Dec-2017,843.22,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,129171.0,0.0,1.0,5.0,12.0,84137.0,91.0,0.0,3.0,17090.0,68.0,74831.0,2.0,1.0,1.0
103468578,,20000,20000,20000.0,36 months,11.49,659.43,B,B5,Maintainer,10+ years,OWN,60000.0,Not Verified,Mar-2017,Current,n,,debt_consolidation,Debt consolidation,727xx,AR,23.36,0,Dec-1997,0.0,52.0,,12,0,16866.0,25.5,29,w,16128.68,16128.68,5262.67,5262.67,3871.32,1391.35,0.0,0.0,0.0,Dec-2017,659.43,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,64890.0,1.0,1.0,1.0,5.0,48024.0,,1.0,2.0,10104.0,26.0,66100.0,1.0,0.0,2.0
78298831,,8400,8400,8400.0,36 months,11.99,278.97,C,C1,custodian,3 years,MORTGAGE,30000.0,Source Verified,May-2016,Current,n,,credit_card,Credit card refinancing,221xx,VA,33.56,0,Feb-2012,0.0,,,13,0,12780.0,42.5,17,f,4341.35,4341.35,5294.83,5294.83,4058.65,1236.18,0.0,0.0,0.0,Dec-2017,278.97,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,24523.0,1.0,0.0,1.0,15.0,11743.0,65.0,3.0,7.0,3115.0,51.0,30100.0,1.0,6.0,5.0
97532260,,8000,8000,8000.0,36 months,8.24,251.58,B,B1,Senior Account Executive,2 years,RENT,67500.0,Source Verified,Feb-2017,Current,n,,credit_card,Credit card refinancing,069xx,CT,14.67,3,Jul-2001,1.0,16.0,,8,0,7817.0,64.1,27,w,5971.64,5971.64,2530.46,2530.46,2028.36,502.1,0.0,0.0,0.0,Dec-2017,251.58,Jan-2018,Dec-2017,0,16.0,1,Individual,,,,0,0.0,61723.0,0.0,2.0,3.0,8.0,53906.0,90.0,0.0,0.0,3940.0,86.0,12200.0,1.0,0.0,3.0
93991640,,8000,8000,7950.0,36 months,11.39,263.39,B,B3,Driver,2 years,MORTGAGE,50000.0,Source Verified,Nov-2016,Current,n,,debt_consolidation,Debt consolidation,731xx,OK,14.79,0,Dec-1998,0.0,,91.0,9,1,9715.0,60.3,9,f,5419.33,5385.46,3411.41,3390.09,2580.67,830.74,0.0,0.0,0.0,Dec-2017,263.39,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,30880.0,0.0,0.0,0.0,181.0,8316.0,40.0,2.0,3.0,3765.0,62.0,16100.0,0.0,0.0,2.0
72225248,,35000,35000,35000.0,60 months,15.31,838.36,C,C5,Manager Logistics Division,< 1 year,MORTGAGE,110000.0,Source Verified,Feb-2016,Charged Off,n,,debt_consolidation,Debt consolidation,775xx,TX,23.47,1,Oct-1998,0.0,13.0,,11,0,10560.0,52.8,31,w,0.0,0.0,8410.75,8410.75,4144.89,4208.94,56.92,0.0,0.0,Dec-2016,838.36,,Dec-2017,0,72.0,1,Individual,,,,0,0.0,160884.0,1.0,3.0,4.0,2.0,78194.0,75.0,0.0,0.0,0.0,72.0,20000.0,2.0,14.0,4.0
106765286,,8000,8000,8000.0,36 months,8.24,251.58,B,B1,Nurse's Aid,7 years,RENT,55000.0,Not Verified,Apr-2017,Current,n,,debt_consolidation,Debt consolidation,106xx,NY,17.04,0,Feb-2002,0.0,,103.0,9,1,6432.0,42.3,16,w,6594.79,6594.79,1753.74,1753.74,1405.21,348.53,0.0,0.0,0.0,Dec-2017,251.58,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,16406.0,1.0,0.0,1.0,22.0,9974.0,40.0,2.0,3.0,2873.0,41.0,15200.0,1.0,0.0,0.0
117191415,,10000,10000,10000.0,60 months,12.62,225.6,C,C1,Child Protection Therapist,< 1 year,RENT,43000.0,Not Verified,Sep-2017,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,22.11,0,Jul-2004,0.0,39.0,,7,0,2483.0,34.0,36,w,9634.89,9634.89,669.79,669.79,365.11,304.68,0.0,0.0,0.0,Dec-2017,225.6,Jan-2018,Aug-2017,0,39.0,1,Joint App,123000.0,17.37,Not Verified,0,0.0,119042.0,0.0,0.0,0.0,25.0,116559.0,97.0,0.0,0.0,2015.0,83.0,7300.0,0.0,0.0,0.0
116475007,,10150,10150,10150.0,60 months,21.45,277.17,D,D5,Machine Operator,10+ years,RENT,69000.0,Verified,Aug-2017,Current,n,,debt_consolidation,Debt consolidation,089xx,NJ,11.05,0,Jul-2006,0.0,44.0,,4,0,2505.0,50.1,16,w,9756.65,9756.65,1096.58,1096.58,393.35,703.23,0.0,0.0,0.0,Dec-2017,277.17,Jan-2018,Dec-2017,0,44.0,1,Individual,,,,0,0.0,13723.0,1.0,0.0,1.0,19.0,11218.0,59.0,1.0,2.0,1599.0,57.0,5000.0,0.0,4.0,0.0
90219136,,10000,10000,10000.0,36 months,8.99,317.96,B,B1,Surface maintenance repairer,10+ years,OWN,75000.0,Source Verified,Oct-2016,Current,n,,home_improvement,Home improvement,377xx,TN,28.5,0,Sep-2006,0.0,33.0,,9,0,4652.0,19.1,24,w,6426.64,6426.64,4476.4,4476.4,3573.36,903.04,0.0,0.0,0.0,Dec-2017,317.96,Jan-2018,Dec-2017,0,67.0,1,Individual,,,,0,3532.0,70557.0,1.0,3.0,6.0,2.0,65905.0,95.0,1.0,2.0,4478.0,64.0,24300.0,0.0,6.0,2.0
76784623,,13200,13200,13200.0,36 months,18.99,483.8,D,D4,Underwriter,1 year,MORTGAGE,85000.0,Verified,Apr-2016,Current,n,,debt_consolidation,Debt consolidation,336xx,FL,11.85,0,Oct-2002,2.0,,,10,0,9408.0,83.3,13,w,6791.16,6791.16,9726.94,9726.94,6408.84,3318.1,0.0,0.0,0.0,Dec-2017,483.8,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,46183.0,1.0,1.0,1.0,8.0,36775.0,,2.0,4.0,2796.0,83.0,11300.0,2.0,2.0,6.0
109897667,,10000,10000,10000.0,36 months,11.99,332.1,B,B5,Global Marketing Asst. Traffic Manager,10+ years,RENT,66000.0,Not Verified,May-2017,Current,n,,debt_consolidation,Debt consolidation,282xx,NC,8.02,2,Sep-2005,1.0,3.0,88.0,9,2,521.0,7.1,46,w,8325.18,8325.18,2308.05,2308.05,1674.82,633.23,0.0,0.0,0.0,Dec-2017,332.1,Jan-2018,Dec-2017,1,3.0,1,Individual,,,,0,0.0,29128.0,0.0,2.0,3.0,12.0,28607.0,112.0,0.0,0.0,521.0,89.0,7300.0,1.0,0.0,4.0
77300343,,5000,5000,5000.0,36 months,19.99,185.8,E,E1,,,RENT,30000.0,Source Verified,Apr-2016,Late (31-120 days),n,,moving,Moving and relocation,787xx,TX,5.84,0,May-2009,0.0,,,4,0,2969.0,45.0,8,f,3106.57,3106.57,3231.53,3231.53,1893.43,1293.1,45.0,0.0,0.0,Dec-2017,200.0,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,2969.0,0.0,0.0,0.0,43.0,0.0,,0.0,1.0,1133.0,45.0,6600.0,0.0,0.0,0.0
68609527,,10000,10000,10000.0,36 months,9.8,321.74,B,B3,Program Coordinator,10+ years,RENT,63673.0,Source Verified,Jan-2016,Current,n,,debt_consolidation,Debt consolidation,323xx,FL,20.73,2,May-1983,0.0,10.0,,16,0,14601.0,30.6,33,w,3952.73,3952.73,7421.8,7421.8,6047.27,1374.53,0.0,0.0,0.0,Dec-2017,321.74,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,46700.0,1.0,2.0,2.0,3.0,32099.0,74.0,0.0,3.0,3184.0,51.0,47700.0,0.0,1.0,0.0
